Q1 - age,Q2 - race/ethnicity,Q3 - freshman,Q4 - live on campas,Q5 - international student,Q6 - experienced nonconsensual sexual contact by another student,Q7 - How does the information about the Title IX Mandate make you feel?,"Q8 - After viewing the video about the Title IX Mandate, how do you think you would behave if you were to experience nonconsensual sexual contact by another student?",Q9 - Who would you tell if you were to experience nonconsensual sexual contact?,"Q10 - How do you believe the Title IX Mandate would affect your decision to ask for help from CARE (victim advocacy), Student Health, or Counseling Services if you were to experience nonconsensual sexual contact?","Q11 - How do you want Resident Assistants, professors, and student employees of the university to handle your private information if you tell them you experienced nonconsensual sexual contact?",Q12 - How might the Title IX Mandate to report nonconsensual sexual contact affect your relationship with your friends and other students?,Q13 - How does the Title IX Mandate affect your safety within the campus community?,Q14 - Which university employees are not required to report information about nonconsensual sexual contact to a Title IX Coordinator?,Q15 - Which university employees are required to report information about nonconsensual sexual contact to a Title IX Coordinator?,Q16 - What living and classroom arrangements do you believe the university should make for the student who experiences nonconsensual sexual contact by another student?,Q17 - What should the university do to or for the student who is suspected of causing nonconsensual sexual contact to another student?,"Q18 - If you were to experience nonconsensual sexual contact caused by another student, how would you feel about telling that student how his or her actions affected you if a professionally trained counselor were there to help you through it?",Q19 - What does an ideal campus community look like to you?,Q20 - What can you and other students do to create and maintain an ideal campus community?, ,,,,,,,,,,,,,
18 years old,White / Caucasian,Yes,Yes,No,No,I think it's reasonable and I'm glad there is s specific organization that handles these situations,I would probably confide in my friends first and definitely go to the health center if I were to confide in someone on campus,Friends or my sister,It doesn't,I would want them to play the role they have to play to help me but not personally get involved,It might be awkward for them to tell someone,It makes me feel safer and cared about,"Friends,Health Care Providers,Mental Health Counselors,","Resident Assistants,Professors,Peer Educators,Mental Health Counselors, , ",If they are looking for accommodations to help them through their situation then I feel like a room by theirself would be nice,Expel them,would not want to talk to the other student at all,Friendly productive and polite,Be aware of each other and each other's space and feelings, ,,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,No,"I think that there should be someone to deal with these situations, but they should be told to someone when the situation is very severe.",I would be very scared and feel very uncomfortable.,I would tell my best friend because we are very close and I know she would not judge me. I would also talk to my mom because we are very close.,I would not be afraid to tell these people because they are all comforting and welcoming.`,I would like for them to keep it confidential.,I don't really think it would affect my relationship with my friends or other people.,It keeps things between you and the person you are talking about it with.,"Friends,Health Care Providers,Victim Advocates,","Mental Health Counselors,,Resident Assistants,Professors,, ",I don't think there is a specific way to arrange living because you never know who could be a victim or who would do that to another student. There is not really a way to prevent it.,There should be a severe consequence for the suspect. Maybe even suspension or withdrawal from the university.,would not be afraid to confront them face to face and tell them how it affected me.,A bunch of different individuals getting together and getting along despite their differences.,Respect one another., ,,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,No,"Good, knowing action can be taken if something happens to me makes me feel great.",I would feel violated and alone.,I would go see a Dr.,It does not really affect my decision.,I would want them to follow protocol.,Respondent skipped this question,It makes it safer.,"Friends,,,","Resident Assistants,Professors,Health Care Providers,Victim Advocates,Peer Educators,Mental Health Counselors",I would want to be excused from class the day after.,Take action to ensure it does not happen again.,I would rather just not see that person again.,UNCW's campus community is ideal campus community!,"Not rape others, and be nonjudgemental.", ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,good options of people to talk to who are and are not mandated to tell other people,Tell friends,Friends,I would Be more likely,How they are suppose to in Title IX Mandate,Strengthen it,Increases it,"Friends,Health Care Providers,Mental Health Counselors,","Resident Assistants,,Professors,Victim Advocates, ,",Time off from school for a recommended time from counselor,"Work with police to find out if he is guilty or innocent, and immediately kick off campus if found guilty",I'd kill the person,"Safe, accepting, private",Be open, ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,It makes me feel safe,I would tell someone,My doctor,I would go to them and get help,Be very gentle about it and not tell anyone else,It would make me trust them more,It makes me feel safer,"Friends,Health Care Providers,Victim Advocates,","Peer Educators,,Resident Assistants,Professors,Mental Health Counselors,",Let them move somewhere else,Question them and if found guilty kick them out of school,I would feel comfortable,Where nobody has to worry about being assaulted,Report bad things that happen, ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,I'm very thankful to have so many positive resources available.,"Although I have never been in a situation like this, I would think that I would want to have a confidential outlet, such as those listed in the video and would most likely reach out to them.","I would first go to a friend for comfort and advice, then go from there.",The privacy and comfort aspect would make me much more comfortable contacting them.,I would wish for them to speak comfortably and only tell other services if permitted by the victim.,I feel that it would have no negative impacts.,I feel much more safe knowing that there are always people willing to help if needed.,"Friends,Health Care Providers,Victim Advocates,","Peer Educators,Mental Health Counselors,Resident Assistants,Professors,,",I believe that the victim should not have to see their abuser under any circumstances and the university should grant those wishes to the best of their ability.,Refer them to a dean/ law official and require them to answer any questions necessary.,I would not censor myself and unleash all my feelings.,A supporting and safe environment for everyone.,Never turn a blind eye to a person in need., ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,It makes me feel protected,I would talk to my friends then maybe a councellor,a friend,I might not go to an adult,just talk to me about it,make up closer,I will be very safe and aware of my surroundings,"Friends,Health Care Providers,,","Resident Assistants,Professors,, ,,",they should be in a residence hall,they should get them in trouble with the school,I would tell them that it was awkward,lots of campus security just like uncw,not get in trouble, ,,,, ,,, ,,, ,,,
19 years old,Asian / Pacific Islander,Yes,Yes,Yes,No,"While I am sure that victims feel embarrassed or perhaps ashamed about what has happened, I believe Title IX has every right and the duty to report crimes like this. I believe their mandate is excellent as it keeps confidentiality on a need-to know basis.","I would definitely report it to the authorities, with the understanding that it will be reported to higher authority.","Any RA from the building, or the police.","Honestly in a case like this, I would contact whoever I needed to as soon as possible. I cannot imagine how I would react in a situation but I can only imagine. I would though definitely report and ask for help from any Campus organization designed to help students in these situations.","I'd want them to reassure me that they are there and supportive, that they will do what they can to find the proper help, report the crime while maintaining confidentiality.","Honestly, I'm not sure. I would want to report anything regardless, as it is the right thing to do.","While it is hard to prevent rape at all, I believe that the next best thing we can do is to make people feel safe. If they should ""fall"", there are nets to catch them. I feel like our campus is safe and does plenty to help the students.","Friends,,,","Resident Assistants,Professors,Health Care Providers,Victim Advocates,Peer Educators,Mental Health Counselors","Definitely a type of ""restraining order"" and not to inconvenience the victim. Inconvenience the person who commit the crime. Move them to different class, move them to a different residence hall. Things should be done FOR the victim, not TO the victim.","Intervene immediately, question them."," It would depend on the situation and severity of the situation. Obviously is severe bodily harm came to me, it would be a different
situation. But I would feel more comfortable with a counselor there."," Obviously, things happen. But since the world isn't perfect, we must do our duty to come together as a community. Strangers or friends,
we are all humans and things get to the best of us, and get to our core. It is important for there to be programs, assistance and authority
there to help and aid anyone who has had something stripped from them, to help them back up with strength and confidence."," Reach out and raise awareness. sympathize and empathize with victims, understand what they have gone through. Understanding is
the best way to help, because you can never fully help someone if you don't know what they need.", ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,Reassured,I would probably tell my friends and then tell a counselor,Friends parents counselor health provider,I would still go and get help,I would not want them to be able to go around and tell anyone. I would want them to try and help me and guide me in the right direction.,Respondent skipped this question,Respondent skipped this question,"Friends,,,","Resident Assistants,Professors, , ,,",They should let them change their living situations and be able to change their classes if need be without any hesitation," I don't know that they should do anything. They don't know that they actually did it so they don't have a right to be able to do anything
about it",I would be okay with doing that.,Respondent skipped this question,Respondent skipped this question, ,,,, ,,, ,,, ,,,
19 years old,Hispanic,Yes,Yes,No,No,Reassured,I would reach out to friends and then other resources,Friends and on campus resources,It would encourage me,Without judgment and with secrecy,It would give me more confidence,"Beneficially, because it ensures that appropriate steps be taken","Friends,Health Care Providers,Mental Health Counselors,","Resident Assistants,Professors,Victim Advocates,Peer Educators,,",Protection from the assaulter,Fully investigate all claims and don't worry about campus reputation,I don't know,People who respect each other and their boundaries,Be non-judgmental, ,,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,No,Makes me feel safe knowing that there are so many resources that can take care of everyone on campus.,I would directly talk to someone I trusted.,I would tell my ARC and Ra because I am very close to them and rather tell them than someone I do not know at all.,I do not think that it would affect my decision.,I would want them to tell me who directly they are telling so I know who knows what happened to me.,I think that everyone should be aware of the mandate so everyone can help others through situations like these.,It makes me feel safer that these things are being reported and being made aware of so we can stop them.,"Health Care Providers,Victim Advocates,Mental Health Counselors,","Resident Assistants,Professors,Peer Educators, ,,",Make the front desk more aware to watch out for intoxicated persons and if they are being checked in maybe not allow it.," I believe that the university should first talk to the student and the person that was believed to be sexually assaulted and figure out what
the real story is. I then believe if guilty the student should be placed on ""probation"" with the school.",I would feel very angry and wonder why they were still on the campus.," An ideal campus community is where everyone respects each other enough to where things like this don't happen. An ideal campus is
where there are resources where everyone feels comfortable enough to talk to everyone"," We can make sure that if we see something to call it out. We need to make everyone aware what is actually happening on campus so
we can fix it.", , ,,, ,,, ,,, ,,,
18 years old,White / Caucasian,No,No,No,No,This information makes me feel like I have someone to talk to.,I would report to them immediately.,"Care, and residence coordinator.",It would encourage me to speak up.,As confidential as possible.,It should not affect it at all.,It makes me feel safer.,"Friends,Health Care Providers,Peer Educators,Mental Health Counselors","Resident Assistants,Professors,Victim Advocates,,,",I dontlknow,expulsion,don't lnonw,don't lnonw,don't lnonw, ,,,, ,,, ,,, ,,,
18 years old,Asian and Caucasian,Yes,Yes,No,No,It should definitely be mandated,calm and take care of the situation quickly,my RA or go to a resource on campus,I would go to them immediately.,privately,there would be no effect,affects my safety in a positive way,Victim Advocates,"Resident Assistants,Professors,Friends ,Health Care Providers,Peer Educators,Mental Health Counselors",there shouldn't be any changes,kick him out of the college,fine,safe and secure,let them know about the resources, ,,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,No,I personally like that people are required to tell confidential sources because even if some people are embarrassed by what has happened it is always best to tell someone and get help.,I would probably tell a close friend and then go to the counseling center or health center,yes,I would still ask for help.,I'd prefer it be completely confidential except for telling a Title IX person,It may cause tension but I think it's worth it,I think it is reassuring,"Friends,Health Care Providers,Mental Health Counselors,","Resident Assistants,Professors,Victim Advocates,Peer Educators,,",I'm not sure," this person should be punished in some way, but then again not all people are conscious when this happens so I think it may be
situational.",I would be embarrassed but I would still do it,One that is open and accepting and safe,Be safe when participating in on and off campus activities, ,,,, ,,, ,,, ,,,
19 years old,Puerto Rican and Caucasian,Yes,Yes,No,No,Safe knowing that there are multiple confidential resources on campus to help me if I ever ended up in a situation like that,I would go to one of the resources displayed in the video,A friend and then probably go to the CARE center,I would be more likely to disclose personal information knowing that it is confidential,Be understanding and offer comfort and advice,It might effect the way I would respond if a friend ever disclosed that kind of information to me,It makes me feel slightly safer knowing that there are standard regulations for that kind of stuff,"Friends,,,","Resident Assistants,Professors,Health Care Providers,Victim Advocates,Peer Educators,Mental Health Counselors",Make sure they are not living near the person who did that to them and make sure they aren't in any classes together either,"Question them and then take it from there, probably legal action should be taken",I'd be nervous but having someone there with me would be helpful,Safe and diverse,Make sure you are always looking out for fellow students and stick to your gut feeling when you see something suspicious, ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,Safe knowing that people are there to look out for my best interest,I would report it to the proper authority,Close friend,Would not affect it,Handle the information respectfully,Not affect,Promoted more safety,"Friends,Health Care Providers,Peer Educators,","Resident Assistants,Professors,Victim Advocates,Mental Health Counselors,,",Provide support system,Investigate rigorously while also retaining anonymity,Confident,Respondent skipped this question,Respondent skipped this question, ,,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,No,Safe knowing that I have resources here on campus that I can use if I have encountered any sexual harassment.,"I would definitely let someone know if I was assaulted, because I wouldn't have to go through with pressing charges, and my decisions would be respected.","My mom, friends, family, therapist, counselor, teacher I felt close to","It definitely helps because I know my feelings won't be invalidated, and it can be kept under wraps.","I believe they should report it, so that students know there are resources they can use on campus","For me, personally it wouldn't.",Makes me feel safer knowing there are resources here on campus,"Friends,Health Care Providers,Mental Health Counselors,","Resident Assistants,Professors,Victim Advocates,Peer Educators,,",Get them as far away as possible from the other student.,"Keep tabs on them, not necessarily tail them, but watch over them."," It would definitely be hard, but facing your attacker is something that really helps a victim overcome some of the mental trauma
associated with sexual assault.",Laughing smiling people wearing tye dye,Smile at everyone! Be nice and open with others., ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,It makes me feel like I have people to talk to if I ever get into that situation.,I think I would talk to someone at the health center.,The health center.,It makes me feel like I can tell them and that they would be able to help me.,I would want them to respect me and try to help. I wouldn't want them to treat me any differently after though.,I think it could help because now if someone tells me about someone abusing them I would know were to take them.,It makes me feel safer.,"Friends,Health Care Providers,Victim Advocates,","Resident Assistants,Professors,Mental Health Counselors, ,,",I think that the students should not be able to have the same class.,"I think they should make them talk to a therapist, and also talk to the dean of students and make get kicked out.",I don't think I would be comfortable.,UNCW,Help others and be friendly, , ,,, ,,, ,,, ,,,
19 years old,Asian / Pacific Islander,Yes,Yes,No,No,makes me feel safe in revealing sensitive information with another person,get help from a confidential person as soon as possible,"care, counselor, and my parents",it would make me get help sooner since I know it's to protect my privacy,help me get to the confidential resources immediately,it would make me feel more inclined to get them to more professional help,It would increase my safety due to the confidential resources,"Health Care Providers,Mental Health Counselors,,","Resident Assistants,Professors,, ,,",smaller classrooms for more one on one with the student,brin them in to the counseling office to discuss the actions they may have caused,it would help me talk it out without the knowledge that I have someone to help me,everyone on campus is willing to help and I have no suspicion that any person is thinking of doing any harm to me or another person,help everyone, ,,,, ,,, ,,, ,,,
19 years old,Asian / Pacific Islander,Yes,Yes,No,No,It makes me feel safe,I would probably be freaking out and crying similar to the second student in the video,Probably a group of friends and my RA,If more people than I wanted knew about my sexual assault then maybe it would refrain me from saying something,I want them just to be supportive of my decisions,It wouldn't but I would just choose who I told more wisely,I think it makes me more safe and lets me know that my community cares about me,"Friends,,,","Resident Assistants,Professors,Health Care Providers,Victim Advocates,Peer Educators,Mental Health Counselors","I think that if the person who assaulted them is in their class then they should be able to change their classes and living wise, the university should ask the victim what they want to do"," The university should expel the student. That is the only way to help fix things for the victim. If any less action is taken, the university
should be under investigation",I would still feel super uncomfortable, Where all students are accepting and understanding, Just be accepting and try not to victimize people, ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,I felt that the friends in the video could have been more helpful,I would go to a trusted friend first,Tell a trusted friend and then go to a healthcare professional,It makes the process more helpful it seems,"I want them to only help me and not disclose information to other students, and only give information to people who could help.","It would probably put a strain on it, as they would not quite understand what I was going through.",Makes me feel more comfortable in revealing what happened,"Friends,Health Care Providers,,","Resident Assistants,Professors,, ,,",Make sure they are Near people they can talk to,Investigate the situation,"I think that I would feel okay about it, but only after some time had passed",Very lit at night and safer walkways not surrounded by trees in the dark,Watch out for eachother, ,,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,No,"I feel as if it is so that it can keep all of the students safe, so I believe that it does nothing but help the community.","I believe that if I wanted to press charges then I would report it to the police, but if I did not then I would consider the counseling center and see a doctor to test for STDs and STIs.","My family, whoever I needed to for legal action, a counselor, my doctor, and my closest friends.",I feel as if I would still tell them as long as I did not engage in any illegal activities.,I want to make sure that no one finds out about the information that does not need to.,I would feel more likely to ask more questions to my friends about what I do so that way I can complete the right process.,It benefits my safety here at UNCW and the safety of others.,"Friends,Health Care Providers,Victim Advocates,Mental Health Counselors","Resident Assistants,Professors,Peer Educators,,,","I believe that what the university provides now is enough for nonconsensual consent. I believe that as long as a health care provider can not report the situation, it is okay.", They should report it to the police and enforce academic consequences as well.," If a professionally trained counselor was there, then I feel as if that I would feel more comfortable in confronting the situation.", A community that supports the students/faculty/staff and keeps the residents safe., Respect one another and to take legal action if any illegal activities take place., ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,It makes me feel good because it shows that someone is there for us.,I would go tell a professional on campus.,A counselor or friend,It would encourage me to tell people more so.,It should all be confidential,It would make us all closer.,It would help reduce non concentual sexual contact.,"Friends,Health Care Providers,,","Resident Assistants,Professors,Peer Educators,,,",They should help them out by giving them support., Call them in for questioning, I would be open to sharing what happened., A tight nit group of people., Be safe. And not drink., ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,I feel like this mandate is very helpful and that scenarios in the video happen more than people realize.,I think that I would need to go to a counselor and have a great group of friends to help me through such a traumatizing experience.,My family and close friends.,I think that it would encourage me to ask for help.,I wouldn't want them to tell anyone.,I feel like it would bring us closer.,It definitely makes me feel safer.,"Friends,,,","Resident Assistants,Professors,Health Care Providers,Victim Advocates,Peer Educators,Mental Health Counselors",They should not be allowed to live near or be around the person that they came into contact with., Make them leave the university.,I would tell them how badly it affected me.," Safe, clean, with reasonable rules.","Clean up, join clubs and be involved", ,,,, ,,, ,,, ,,,
18 years old,American Indian or Alaskan Native,Yes,Yes,No,No,It made feel safe,I would be nervous and scared about telling others,A counselor,I think it would help,I want them to keep my information confidential and private,I would feel more safe around my friends and fellow students,It improves my safety,"Health Care Providers,Mental Health Counselors,,","Health Care Providers,Victim Advocates,Mental Health Counselors,,,",A safe and comfortable environment,They should be expelled from the school,I would feel good telling the other student how it felt and would feel as though a weight has been lifted off my shoulders,A safe and friendly environment where every one is kind and transparent, We should be honest with each other and be willing to support and help those in need or danger, ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,I am not sure,Mixed feelings,Be calm and report,An adult,No affect,Handle it properly,Not too sure,Supposed to make me feel safer,"Friends,,,","Resident Assistants,Professors,Health Care Providers,Victim Advocates,Peer Educators,Mental Health Counselors",none, Meeting and possible suspension,Not too sure,A safe one,Be smart and not make stupid decisions, ,,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,No,I think it's important that the information be transmitted to a group of people that care for the individual and help to spread knowledge about nonconsensual sexual activities. I feel like it is important.,I would definitely go to my RA or the CARE office and tell someone IMMEDIATELY as I know that it was not my fault. I feel that the person to rape should be put in jail and I have no problem talking with someone and being tested for anything.,"Absolutely; my friends, my RA, someone at CARE or the Student Health Center in addition to my family.",It makes me feel safer. I realize that my name and information would be transferred to their files but I also realize it would be disclosed by them. I trust in their confidentiality.,I would obviously want respect for my decision if I want or don't want to move on with the case. I realize that a Title IX provider would have my name and information about the case but I am ok with that. If I ask for them to not tell anyone else I would hope they can respect that.,"Honestly, it shouldn't. I feel that this is an important issue and I feel that all my friends agree and share the same opinion as I do. If I were to be raped or sexually assaulted I would want someone to help me in all the ways possible and I would do the same for my friends.",I feel safer because of this.,"Friends,Health Care Providers,,","Victim Advocates,Mental Health Counselors,Resident Assistants,Professors,Peer Educators,",If you mean the two live in the same dorm then I suggest to have the person who sexually assaulted the other to be moved.," The university should give more awareness talks and things of that nature, but they should only investigate if the person who was
sexually assaulted wishes to continue on and press charges.","I would be absolutely fine with telling him/her how I feel about it and how it affected me with a counselor or not. They deserve to know
how their actions affected another person negatively.
how their actions affected another person negatively. ", Respect.,Respect one another., ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,Frustrated that protections against rape are so bad.,Do my best to remain calm and act rationally,Probably my RA,I'm not sure,I'd want them to believe me and help and not victim blame,It might decrease it,I think it might alienate people,"Friends,Victim Advocates,,","Resident Assistants,Professors,Health Care Providers, ,,",Whatever can be done to make the victim feel safe, They are innocent until proven guilty but they should be separated as much as possible from the victim,Terrified,Safe warm understanding,Hold each other accountable. Be open and honest and look out for each other, ,,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,No,"It makes me feel safe knowing that there are people who are willing to help me, and know how to do so",I would be worried and go and speak with someone about it,I would probably go to a doctor who I trusted to make sure that I could get the medical help I needed,"I think Student Health and CARE would know how to help, but since I would not know them very well I don't know if I would go to them","I would want them to keep it to themselves, but I understand that they would have to report it in order to get the information in the right hands","I would hope that they would not know unless I wanted them to, so my relationships would not be affected","It is important to know who is doing things that are unsafe and mistreating people on campus, so that they can be dealt with properly for the wellbeing of myself and other students","Friends,Health Care Providers,Victim Advocates,","Mental Health Counselors,,Resident Assistants,Professors,Peer Educators, ","If they do not feel safe when with that student, they should be able to switch classes or housing arrangements. If it is proven that the student did assault another, they should be the ones who are made to move"," If only suspected, they should be removed from a lot of interaction with the suspected victim"," If there was a counselor there, I think I would be more likely to discuss my feelings", Everyone coexists harmoniously,Be sure to help others when there is trouble; treat others as you would want to be treated , ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,"I think it's reassuring to know that someone is addressing this issue because it is such a pressing problem. College campuses are dangerous places, and it's comforting to know that people are actually taking reports seriously and using Title IX to fight for my rights as a woman.","I would tell someone who would report it to the Title IX investigator, and I know I personally would press charges, although I do appreciate that the legal course of action isn't mandatory for everyone, because I know some victims would rather not endure the court systems.","I probably would tell my closest friends first, before immediately going to either a trusted teacher or to the health center.","I would tell someone regardless, simply because I know I would need help to handle the situation, but honestly just having a law in place that validates my concerns is reassuring and I know it will give more confidence to people who feel as though there is no one on their side.","I would prefer that they didn't gossip about it, but I would want them to know who to take the information to because I obviously told them to receive some kind of help.",Respondent skipped this question,I suppose people would be less likely to assault another student because they know it will be reported if the victim tells the right person.,"Friends,Victim Advocates,Mental Health Counselors,","Professors,Health Care Providers,Peer Educators, ,, ","I don't think the victim should have to be moved at all. I think they should have to have the least amount of disruption to their lives as possible, since they didn't ask for their lives to change drastically in a matter of minutes. It is the perpetrator who needs to be moved."," Suspension. Provided that it is beyond a reasonable doubt.
When/if thy are proven guilty, it should be expulsion. It is ridiculous that a student can be expelled more easily for plagiarism but not for
sexual assault.","I would probably be violent and cruel because I would want him/her to feel the same pain they caused me. So I would suggest that no
one put us in the same room. ",Equal and just.,It all comes down to respect., , ,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,"Its a decent resource thats in place, but I feel a little weird how 'iffy' it feels","I would immediately go to the doctors, counseling center and then the police if needed.",a doctor or counselor,It would not affect my decision to tell somebody,I would want it to be confidential and private. I'm not sure how a teacher should deal with it.,Respondent skipped this question,I don't think it does.,"Friends,Victim Advocates,Peer Educators,","Resident Assistants,Professors,Health Care Providers,Victim Advocates,Mental Health Counselors, ","I have no clue to be honest, its a difficult subject matter to deal with.",Investigate more on the issue to see if it actually was nonconsensual,"I would not do it directly, i would go through another means.",Where everything is perfect and theres no homework and everyone is nice and kind. its unrealistic.,Not be mean to each other., , ,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,No,Safe because I know I have the resources I would need if I was sexual assaulted.,I would talk to my health provider but not press charges,A health provider and my mom,I feel like it would make it easier to talk about.,I wouldn't want them to tell anyone.,I think it would hold students accountable.,It ensures that I have people to provide care if sexually assaulted.,"Friends,Health Care Providers,Mental Health Counselors,","Resident Assistants,Professors,Victim Advocates,Peer Educators, , ",I think that if the student doesn't want to talk to a professor that the Title IX Coordinator should be able to give the professor a note to excuse the student.,Provide education about how it is wrong and that is and is not a nonconsensual sexual act.,I would not want to do that.,A community that works together to improve it's flaws and provides a safe environment for it's students.,Talk openly about issues on campus and become aware of policies and resources available on campus., ,,,, ,,, ,,, ,,,
19 years old,White / Caucasian,Yes,Yes,No,No,"I was aware prior to the video that if we were to talk to an RA about sexual misconduct, they just report it. I am glad that it is mandated because it makes sure something gets done versus someone just learning the info and doing nothing about it.",I Woul tell someone! I know that it is hard but asking for help or just sometimes getting the information off your chest is best. I have watched the hunting ground documentary though and it scared me. I have no idea the charges for sexual assault on campus. I love uncw and it would break my heart if something ever happened to me here and my administration did nothing to help. Or even worse that they might just try to cover it up.,I have a really close relationship with my RA and I would go to her. She is super supportive and Woul try her best to get me the help I need.,It would not effect it,I would like them to report it. It may be be the easiest thing for me to do but it will be worth it in The long run.,Does not effect it,Makes my campus a safer place,"Friends,Health Care Providers,Victim Advocates,Mental Health Counselors","Resident Assistants,Professors,Peer Educators,,, ",More lights on parts of campus! specifically parking lots," They should be investigated! Fined or punished in some way. Make it a requirement for all students to give DNa samples when
suspected of being an assalent",It would be hard but it is something the perp should have to hear.,A place were I can walk without fear of being attacked no matter the time of day.,"Work to by put myself in dangerous situations, drink responsibly and all that. No perception altering drugs.", ,,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,No,I feel that it requires the spread of sensitive information that a student may not want others to know and I know I wouldn't want that to go to anyone else besides the person I'm trusting with that information.,I would be less encouraged to tell anyone aside from a healthcare provider.,A healthcare provider or perhaps the counseling office.,Assuming they wouldn't tell anyone I would likely feel alright telling any of the three.,Keep it between them and I.,"I would never tell my friends or other students, but I wouldn't remain distant from them. They, however, may remain distant from me. I'm not sure.",I feel it potentially places my emotional safety in danger in terms of that sensitive information being mandatory to report if something like that were to happen.,"Friends,Health Care Providers,Mental Health Counselors,","Resident Assistants,Professors,Victim Advocates,Peer Educators, , ","I don't necessarily have any major suggestions, but a room by themselves might help in addition to a more relaxed atmosphere in the classroom, particularly concerning leniency from a professor."," 1. Counseling for both individuals.
2. A punishment of sorts, but with the implementation of restorative justice.","If a mediator was present, I suppose I would feel comfortable with confronting that individual.","We're definitely not living in one. But in terms of sexual offenses and misconduct, a system should be implemented where both
offenders and victims should be counseled; where the victim receives the confidential help they deserve while the offender receives
punishment but also instruction on why what they did is intolerable and what they can do to implement themselves back into the
community.",Push for change., ,,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,No,I feel that it is a good thing that certain people are mandated to handle the situation because who knows what would happen if it wasn't required,I would go to my RA of the CARE office,My RA first because she would not judge but help me,It would force them to take care of the situation by reporting it,"To keep it private, but I would not want my friends to have to report it","It would probably strain some friendships because that is a lot to handle as an 18 year old person. I do not think that I would want my friends to have to report, because my RA can do that and has better information and resources",I feel that it makes it safer,"Professors,Friends,Victim Advocates,","Resident Assistants,Health Care Providers,Peer Educators,Mental Health Counselors, , ",I don't know how much they can protect the student if they don't know who the molester,Take immediate action and terminate the student's appearance on campus,I would not want to see him or her again unless it was in a trial.,One where all students are respected and valued and where safety is the number 1 priority,Be respectful toward each other and be kind to those who need help and support, ,,,, ,,, ,,, ,,,
18 years old,White / Caucasian,Yes,Yes,No,No,I feel as though it is a good way to make sure sexual assault does not continue to be ignored.,I think I would consult a healthcare provider first and then look at my options.,A healthcare provider,I would be more likely to visit them because they are confidential.,I would hope they would only tell the people that could help me/the people they are required to tell.,I would probably not tell them unless I had to.,I think it has a positive impact,"Friends,Health Care Providers,Victim Advocates,Mental Health Counselors","Resident Assistants,Friends ,Peer Educators,,, ",I would just suggest giving them the most support and help as possible and not blame the victim under any circumstances.,They should launch a full investigation and if the student is guilty I would press charges and remove them from the campus.,I would not be comfortable doing that under any circumstances.,"Supportive, encouraging, fun, safe",Provide support and encouragement, ,,,, ,,, ,,, ,,,
